Entry ID	LNIC Code	Entity-Type	Subtype(s)	Vocabulary	Code	Vocabulary Preferred Name	Mapping_type	Mapping confidence	Version
006	LNIC-100-006	SBLPN		UMLS	C0349633	Hairy cell leukemia variant	partial	Moderate	2026AA
006	LNIC-100-006	SBLPN		ICDO3	9591/3	Malignant lymphoma, non-Hodgkin, NOS 	broader	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
006	LNIC-100-006	SBLPN		ICD9	202.8	Other lymphoma	broader	High	International Classification of Diseases, Ninth Revision (ICD-9)
006	LNIC-100-006	SBLPN		ICD10CM	C85.1_	Unspecified B-cell lymphoma	broader	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
006	LNIC-100-006	SBLPN		ICD10CM	C85.1A	Unspecified B-cell lymphoma, in remission	partial	Moderate	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
006	LNIC-100-006	SBLPN		ICD10CM	C91.4	Hairy-cell leukemia not having achieved remission | Hairy-cell leukemia, in remission | Hairy-cell leukemia, in relapse	partial	Low	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
006	LNIC-100-006	SBLPN		ICD10	C85.0	Lymphosarcoma	broader	Moderate	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
006	LNIC-100-006	SBLPN		ICD10	C85.1	B-cell lymphoma, unspecified	broader	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
006	LNIC-100-006	SBLPN		ICDO4	95914/3	Splenic B-cell lymphoma/Leukaemia with prominent nucleoli	exact	High	International Classification of Diseases for Oncology, Fourth Edition
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICDO3	9671/3	Malignant lymphoma, lymphoplasmacytic (see also M-9761/3) 	exact	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICDO3	9761/3	Waldenstrom macroglobulinemia 	narrower	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICD9	273.3	Macroglobulinemia	narrower	Moderate	International Classification of Diseases, Ninth Revision (ICD-9)
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICD10CM	C88.00	Waldenstrom macroglobulinemia, not having achieved remission | Waldenstrom macroglobulinemia, in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICD10CM	C88.01	Waldenstrom macroglobulinemia, in remission	narrower	High	International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM), 2025
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	UMLS	C0334633	Malignant lymphoma - lymphoplasmacytic	exact	High	2026AA
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	UMLS	C0024419	Waldenstrom Macroglobulinemia	narrower	High	2026AA
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	EFO	MONDO_0000432	lymphoplasmacytic lymphoma	exact	High	3.91.0
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	EFO	MONDO_0100280	Waldenstrom macroglobulinemia	narrower	High	3.91.0
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICD10	C88.0	Waldenstrom macroglobulinemia	narrower	High	International Statistical Classification of Diseases and Related Health Problems, Tenth Revision (ICD-10)
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICDO4	96710/3	Lymphoplasmacytic lymphoma	exact	High	International Classification of Diseases for Oncology, Fourth Edition
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICDO4	97611/3	IgM-type lymphoplasmacytic lymphoma/Waldenström macroglobulinaemia	narrower	High	International Classification of Diseases for Oncology, Fourth Edition
007	LNIC-100-007	LPL	IgM-type LPL/Waldenström macroglobulinaemia (WM) type, Non-IgM type LPL	ICDO4	97612/3	Non-IgM-type lymphoplasmacytic lymphoma/Waldenström macroglobulinaemia	narrower	High	International Classification of Diseases for Oncology, Fourth Edition
008	LNIC-100-008	EMZL	Immunoproliferative small intestinal disease (alpha heavy chain disease)	ICDO3	9699/3	Marginal zone B-cell lymphoma, NOS 	broader	High	International Classification of Diseases for Oncology, Third Edition, Second Revision (ICD-O-3.2), 2025
